tCm 6,Abella 4,896
tCm7,Acerrae 1,592
nCm 1,*Irinthum 1,847
nCm 2,Atella 1,487
nCm 3,Nuceria Alfaterna 1,903
nCm 4,Calatia 1,479
nCm 5,Hurietes 1,858
nCm 6,Fenserni 1,489
nCm 7,Campania Coinage 1,380
ZO 1,Campania or Samnium 6,372
ZO 2,Campania or Samnium 2,366
ZO 3,Campania or Samnium 1,364
ZO 4,Campania or Samnium 3,368
ZO 5,"Etruscan: see Ve 179, b",
Lu 1,Bantia 1,1437
Lu 62,Buxentum 1,1328
Lu 2,Atina Lucana 1,1353
Lu 3,Cosilinum 1,1355
Lu 4,Numistro 1,1360
Lu 5,Potentia 1,1364
Lu 6,Potentia 9,1375
Lu 7,Potentia 10,1378
Lu 8,Potentia 3,1367
Lu 9,Potentia 8,1373
Lu 10,Potentia 4,1369
Lu 11,Potentia 5,1370
Lu 12,Potentia 2,1366
Lu 13,Potentia 40,1424
Lu 14,Paestum 1,1321
Lu 15,Potentia 17,1391
Lu 16,Potentia 13,1384
Lu 17,Potentia 32,1415
Lu 18,Lucania or Brettii or Sicilia 3,1312
Lu 19,Lucania 1,1317
Lu 20,Potentia 26,1406
Lu 21,Potentia 25,1404
Lu 22,Potentia 28,1408
Lu 23,Crimisa 1,1468
Lu 24,Crimisa 2,1470
Lu 25,Vibo 2,1496
Lu 26,Lucania or Brettii or Sicilia 1,1309
Lu 27,Potentia 12,1382
Lu 28,Potentia 20,1395
Lu 29,Potentia 21,1397
Lu 30,Potentia 24,1403
Lu 31,Potentia 22,1399
Lu 32,Potentia 16,1389
Lu 33,Potentia 15,1388
Lu 34,Potentia 14,1386
Lu 35,Potentia 11,1380
Lu 36,Potentia 19,1394
Lu 37,Metapontum 1,1450
Lu 38,Bantia 2,1446
Lu 39,Anxia 1,1433
Lu 40,Cosilinum 1,1355
Lu 41,Tegianum 1,1358
Lu 42,Paestum 3,1324
Lu 43,Teuranus Ager 1,1478
Lu 44,Crimisa 3,1472
Lu 45,Buxentum 3,1333
Lu 46,Laos 2,1344
Lu 47,Thurii Copia 1,1461
Lu 48,Italia 5,79
Lu 49,Italia 4,78
Lu 50,Italia 6,80
Lu 51,Italia 3,77
Lu 53,Italia 3,77
Lu 52,Italia 8,82
Lu 54,Italia 7,81
Lu 55,Italia 2,75
Lu 56,Italia 2,75
Lu 57,Potentia 30,1411
Lu 61,Heraclea 2,1457
Lu 58,"Latin: see M.H. Crawford, ‘Greek or Latin or Messapic not Italic’ (forthcoming)",
Lu 59,Potentia 31,1413
Lu 60,Potentia 27,1407
Lu 63,Laos 3,1348
Lu 64,Potentia 23,1401
tLu 1,Potentia 44,1431
tLu 2,"= Poce 197 = E. Perotti, Klearchos 16, 61-4 (1974) pp. 77-104, ‘Bolli laterizi rinvenuti a Vibo Valentia’, at pp. 77-82, no. 4: XXX; the stamp is as likely to be of a Greek or of a Roman as in Oscan",
tLu 3-5,Vibo 5,1499
tLu 6,Vibo 8,1503
tLu 7,Vibo 7,1502
tLu 8,Vibo 6,1501
tLu 9,Vibo 3,1497
tLu 10,Potentia 42,1428
tLu 11,Nuceria Brettia 2,1494
tLu 12,Messapic,
tLu 13,Tauriani 1,1505
tLu 14,= tMe 1,1512
tLu 15,Velia 1,1327
nLu 1,Lucani 1,1320
nLu 2,"Latin, the coinage of Paestum as a Latin colony: see M.H. Crawford, in G. Bradley & J.-P. Wilson (edd.), Greek and Roman Colonization (Swansea 2006) pp. 59-72, ‘From Poseidonia to Paestum via the Lucanians’, at p. 64",
nLu 3,Volcei 1,1352
nLu 4,= nHi 1,381
nLu 5,Vibo 1,1495
Me 1,Messana 4,1515
Me 3,Messana 4,1515
Me 2,Messana 5,1517
Me 4,Messana 6,1519
Me 5,Messana 7,1521
tMe 1,Messana 2,1512
tMe 2,Messana 8,1523
tMe 3,Lucania or Brettii or Sicilia 5,1316
nMe 1,Messana 1,1511
